,ROWHEADER,Test,ODI,T20,IPL,name,Final_Country,Categorey
0,Matches,70,243,78,0,Tamim Iqbal,Bangladesh,Bowling
1,Innings,5,2,0,0,Tamim Iqbal,Bangladesh,Bowling
2,Balls,30,6,0,0,Tamim Iqbal,Bangladesh,Bowling
3,Runs,20,13,0,0,Tamim Iqbal,Bangladesh,Bowling
4,Maidens,0,0,0,0,Tamim Iqbal,Bangladesh,Bowling
5,Wickets,0,0,0,0,Tamim Iqbal,Bangladesh,Bowling
6,Avg,0.0,0.0,0.0,0.0,Tamim Iqbal,Bangladesh,Bowling
7,Eco,4,13,0,0,Tamim Iqbal,Bangladesh,Bowling
8,SR,0.0,0.0,0.0,0.0,Tamim Iqbal,Bangladesh,Bowling
9,BBI,0/1,0/6,-/-,-/-,Tamim Iqbal,Bangladesh,Bowling
10,BBM,0/1,0/6,-/-,-/-,Tamim Iqbal,Bangladesh,Bowling
11,4w,0,0,0,0,Tamim Iqbal,Bangladesh,Bowling
12,5w,0,0,0,0,Tamim Iqbal,Bangladesh,Bowling
13,10w,0,0,0,0,Tamim Iqbal,Bangladesh,Bowling
14,Matches,16,76,87,0,Soumya Sarkar,Bangladesh,Bowling
15,Innings,12,27,28,0,Soumya Sarkar,Bangladesh,Bowling
16,Balls,508,558,288,0,Soumya Sarkar,Bangladesh,Bowling
17,Runs,336,567,451,0,Soumya Sarkar,Bangladesh,Bowling
18,Maidens,3,1,0,0,Soumya Sarkar,Bangladesh,Bowling
19,Wickets,4,16,12,0,Soumya Sarkar,Bangladesh,Bowling
20,Avg,84.0,35.44,37.58,0.0,Soumya Sarkar,Bangladesh,Bowling
21,Eco,3.97,6.1,9.4,0,Soumya Sarkar,Bangladesh,Bowling
22,SR,127.0,34.88,24.0,0.0,Soumya Sarkar,Bangladesh,Bowling
23,BBI,2/68,3/18,2/19,-/-,Soumya Sarkar,Bangladesh,Bowling
24,BBM,2/68,3/18,2/19,-/-,Soumya Sarkar,Bangladesh,Bowling
25,4w,0,0,0,0,Soumya Sarkar,Bangladesh,Bowling
26,5w,0,0,0,0,Soumya Sarkar,Bangladesh,Bowling
27,10w,0,0,0,0,Soumya Sarkar,Bangladesh,Bowling
28,Matches,11,66,48,0,Sabbir Rahman,Bangladesh,Bowling
29,Innings,7,21,9,0,Sabbir Rahman,Bangladesh,Bowling
30,Balls,144,306,73,0,Sabbir Rahman,Bangladesh,Bowling
31,Runs,98,345,79,0,Sabbir Rahman,Bangladesh,Bowling
32,Maidens,1,0,0,0,Sabbir Rahman,Bangladesh,Bowling
33,Wickets,0,3,6,0,Sabbir Rahman,Bangladesh,Bowling
34,Avg,0.0,115.0,13.17,0.0,Sabbir Rahman,Bangladesh,Bowling
35,Eco,4.08,6.76,6.49,0,Sabbir Rahman,Bangladesh,Bowling
36,SR,0.0,102.0,12.17,0.0,Sabbir Rahman,Bangladesh,Bowling
37,BBI,0/9,1/12,3/11,-/-,Sabbir Rahman,Bangladesh,Bowling
38,BBM,0/9,1/12,3/11,-/-,Sabbir Rahman,Bangladesh,Bowling
39,4w,0,0,0,0,Sabbir Rahman,Bangladesh,Bowling
40,5w,0,0,0,0,Sabbir Rahman,Bangladesh,Bowling
41,10w,0,0,0,0,Sabbir Rahman,Bangladesh,Bowling
42,Matches,50,239,141,0,Mahmudullah,Bangladesh,Bowling
43,Innings,66,153,80,0,Mahmudullah,Bangladesh,Bowling
44,Balls,3423,4380,950,0,Mahmudullah,Bangladesh,Bowling
45,Runs,1958,3810,1135,0,Mahmudullah,Bangladesh,Bowling
46,Maidens,56,14,2,0,Mahmudullah,Bangladesh,Bowling
47,Wickets,43,82,41,0,Mahmudullah,Bangladesh,Bowling
48,Avg,45.53,46.46,27.68,0.0,Mahmudullah,Bangladesh,Bowling
49,Eco,3.43,5.22,7.17,0,Mahmudullah,Bangladesh,Bowling
50,SR,79.6,53.41,23.17,0.0,Mahmudullah,Bangladesh,Bowling
51,BBI,5/51,3/4,3/10,-/-,Mahmudullah,Bangladesh,Bowling
52,BBM,8/110,3/4,3/10,-/-,Mahmudullah,Bangladesh,Bowling
53,4w,0,0,0,0,Mahmudullah,Bangladesh,Bowling
54,5w,1,0,0,0,Mahmudullah,Bangladesh,Bowling
55,10w,0,0,0,0,Mahmudullah,Bangladesh,Bowling
56,Matches,71,247,129,71,Shakib Al Hasan,Bangladesh,Bowling
57,Innings,121,241,126,70,Shakib Al Hasan,Bangladesh,Bowling
58,Balls,15675,12575,2745,1484,Shakib Al Hasan,Bangladesh,Bowling
59,Runs,7803,9360,3116,1839,Shakib Al Hasan,Bangladesh,Bowling
60,Maidens,487,102,3,1,Shakib Al Hasan,Bangladesh,Bowling
61,Wickets,246,317,149,63,Shakib Al Hasan,Bangladesh,Bowling
62,Avg,31.72,29.53,20.91,29.19,Shakib Al Hasan,Bangladesh,Bowling
63,Eco,2.99,4.47,6.81,7.44,Shakib Al Hasan,Bangladesh,Bowling
64,SR,63.72,39.67,18.42,23.56,Shakib Al Hasan,Bangladesh,Bowling
65,BBI,7/36,5/29,5/20,3/17,Shakib Al Hasan,Bangladesh,Bowling
66,BBM,10/124,5/29,5/20,3/17,Shakib Al Hasan,Bangladesh,Bowling
67,4w,11,10,6,0,Shakib Al Hasan,Bangladesh,Bowling
68,5w,19,4,2,0,Shakib Al Hasan,Bangladesh,Bowling
69,10w,2,0,0,0,Shakib Al Hasan,Bangladesh,Bowling
70,Matches,4,43,33,0,Mosaddek Hossain,Bangladesh,Bowling
71,Innings,6,41,26,0,Mosaddek Hossain,Bangladesh,Bowling
72,Balls,162,1130,331,0,Mosaddek Hossain,Bangladesh,Bowling
73,Runs,87,969,398,0,Mosaddek Hossain,Bangladesh,Bowling
74,Maidens,2,2,1,0,Mosaddek Hossain,Bangladesh,Bowling
75,Wickets,0,17,18,0,Mosaddek Hossain,Bangladesh,Bowling
76,Avg,0.0,57.0,22.11,0.0,Mosaddek Hossain,Bangladesh,Bowling
77,Eco,3.22,5.15,7.21,0,Mosaddek Hossain,Bangladesh,Bowling
78,SR,0.0,66.47,18.39,0.0,Mosaddek Hossain,Bangladesh,Bowling
79,BBI,0/1,3/13,5/20,-/-,Mosaddek Hossain,Bangladesh,Bowling
80,BBM,0/4,3/13,5/20,-/-,Mosaddek Hossain,Bangladesh,Bowling
81,4w,0,0,0,0,Mosaddek Hossain,Bangladesh,Bowling
82,5w,0,0,1,0,Mosaddek Hossain,Bangladesh,Bowling
83,10w,0,0,0,0,Mosaddek Hossain,Bangladesh,Bowling
84,Matches,0,29,38,0,Mohammad Saifuddin,Bangladesh,Bowling
85,Innings,0,28,38,0,Mohammad Saifuddin,Bangladesh,Bowling
86,Balls,0,1283,797,0,Mohammad Saifuddin,Bangladesh,Bowling
87,Runs,0,1279,1158,0,Mohammad Saifuddin,Bangladesh,Bowling
88,Maidens,0,7,0,0,Mohammad Saifuddin,Bangladesh,Bowling
89,Wickets,0,41,42,0,Mohammad Saifuddin,Bangladesh,Bowling
90,Avg,0.0,31.2,27.57,0.0,Mohammad Saifuddin,Bangladesh,Bowling
91,Eco,0,5.98,8.72,0,Mohammad Saifuddin,Bangladesh,Bowling
92,SR,0.0,31.29,18.98,0.0,Mohammad Saifuddin,Bangladesh,Bowling
93,BBI,-/-,4/41,4/33,-/-,Mohammad Saifuddin,Bangladesh,Bowling
94,BBM,-/-,4/41,4/33,-/-,Mohammad Saifuddin,Bangladesh,Bowling
95,4w,0,1,1,0,Mohammad Saifuddin,Bangladesh,Bowling
96,5w,0,0,0,0,Mohammad Saifuddin,Bangladesh,Bowling
97,10w,0,0,0,0,Mohammad Saifuddin,Bangladesh,Bowling
98,Matches,52,105,29,0,Mehidy Hasan Miraz,Bangladesh,Bowling
99,Innings,89,102,26,0,Mehidy Hasan Miraz,Bangladesh,Bowling
100,Balls,12069,5037,378,0,Mehidy Hasan Miraz,Bangladesh,Bowling
101,Runs,6381,4061,539,0,Mehidy Hasan Miraz,Bangladesh,Bowling
102,Maidens,299,35,0,0,Mehidy Hasan Miraz,Bangladesh,Bowling
103,Wickets,190,110,14,0,Mehidy Hasan Miraz,Bangladesh,Bowling
104,Avg,33.58,36.92,38.5,0.0,Mehidy Hasan Miraz,Bangladesh,Bowling
105,Eco,3.17,4.84,8.56,0,Mehidy Hasan Miraz,Bangladesh,Bowling
106,SR,63.52,45.79,27.0,0.0,Mehidy Hasan Miraz,Bangladesh,Bowling
107,BBI,7/58,4/25,4/12,-/-,Mehidy Hasan Miraz,Bangladesh,Bowling
108,BBM,12/117,4/25,4/12,-/-,Mehidy Hasan Miraz,Bangladesh,Bowling
109,4w,9,5,1,0,Mehidy Hasan Miraz,Bangladesh,Bowling
110,5w,10,0,0,0,Mehidy Hasan Miraz,Bangladesh,Bowling
111,10w,2,0,0,0,Mehidy Hasan Miraz,Bangladesh,Bowling
112,Matches,95,274,102,0,Mushfiqur Rahim,Bangladesh,Bowling
113,Innings,0,0,0,0,Mushfiqur Rahim,Bangladesh,Bowling
114,Balls,0,0,0,0,Mushfiqur Rahim,Bangladesh,Bowling
115,Runs,0,0,0,0,Mushfiqur Rahim,Bangladesh,Bowling
116,Maidens,0,0,0,0,Mushfiqur Rahim,Bangladesh,Bowling
117,Wickets,0,0,0,0,Mushfiqur Rahim,Bangladesh,Bowling
118,Avg,0.0,0.0,0.0,0.0,Mushfiqur Rahim,Bangladesh,Bowling
119,Eco,0,0,0,0,Mushfiqur Rahim,Bangladesh,Bowling
120,SR,0.0,0.0,0.0,0.0,Mushfiqur Rahim,Bangladesh,Bowling
121,BBI,-/-,-/-,-/-,-/-,Mushfiqur Rahim,Bangladesh,Bowling
122,BBM,-/-,-/-,-/-,-/-,Mushfiqur Rahim,Bangladesh,Bowling
123,4w,0,0,0,0,Mushfiqur Rahim,Bangladesh,Bowling
124,5w,0,0,0,0,Mushfiqur Rahim,Bangladesh,Bowling
125,10w,0,0,0,0,Mushfiqur Rahim,Bangladesh,Bowling
126,Matches,48,94,95,1,Litton Das,Bangladesh,Bowling
127,Innings,1,0,0,0,Litton Das,Bangladesh,Bowling
128,Balls,12,0,0,0,Litton Das,Bangladesh,Bowling
129,Runs,13,0,0,0,Litton Das,Bangladesh,Bowling
130,Maidens,0,0,0,0,Litton Das,Bangladesh,Bowling
131,Wickets,0,0,0,0,Litton Das,Bangladesh,Bowling
132,Avg,0.0,0.0,0.0,0.0,Litton Das,Bangladesh,Bowling
133,Eco,6.5,0,0,0,Litton Das,Bangladesh,Bowling
134,SR,0.0,0.0,0.0,0.0,Litton Das,Bangladesh,Bowling
135,BBI,0/13,-/-,-/-,-/-,Litton Das,Bangladesh,Bowling
136,BBM,0/13,-/-,-/-,-/-,Litton Das,Bangladesh,Bowling
137,4w,0,0,0,0,Litton Das,Bangladesh,Bowling
138,5w,0,0,0,0,Litton Das,Bangladesh,Bowling
139,10w,0,0,0,0,Litton Das,Bangladesh,Bowling
140,Matches,10,34,17,0,Mohammad Mithun,Bangladesh,Bowling
141,Innings,0,1,0,0,Mohammad Mithun,Bangladesh,Bowling
142,Balls,0,12,0,0,Mohammad Mithun,Bangladesh,Bowling
143,Runs,0,12,0,0,Mohammad Mithun,Bangladesh,Bowling
144,Maidens,0,0,0,0,Mohammad Mithun,Bangladesh,Bowling
145,Wickets,0,0,0,0,Mohammad Mithun,Bangladesh,Bowling
146,Avg,0.0,0.0,0.0,0.0,Mohammad Mithun,Bangladesh,Bowling
147,Eco,0,6,0,0,Mohammad Mithun,Bangladesh,Bowling
148,SR,0.0,0.0,0.0,0.0,Mohammad Mithun,Bangladesh,Bowling
149,BBI,-/-,0/12,-/-,-/-,Mohammad Mithun,Bangladesh,Bowling
150,BBM,-/-,0/12,-/-,-/-,Mohammad Mithun,Bangladesh,Bowling
151,4w,0,0,0,0,Mohammad Mithun,Bangladesh,Bowling
152,5w,0,0,0,0,Mohammad Mithun,Bangladesh,Bowling
153,10w,0,0,0,0,Mohammad Mithun,Bangladesh,Bowling
154,Matches,36,220,54,1,Mashrafe Mortaza,Bangladesh,Bowling
155,Innings,51,220,53,1,Mashrafe Mortaza,Bangladesh,Bowling
156,Balls,5990,10928,1139,24,Mashrafe Mortaza,Bangladesh,Bowling
157,Runs,3239,8897,1528,58,Mashrafe Mortaza,Bangladesh,Bowling
158,Maidens,202,123,1,0,Mashrafe Mortaza,Bangladesh,Bowling
159,Wickets,78,270,42,0,Mashrafe Mortaza,Bangladesh,Bowling
160,Avg,41.53,32.95,36.38,0.0,Mashrafe Mortaza,Bangladesh,Bowling
161,Eco,3.24,4.88,8.05,14.5,Mashrafe Mortaza,Bangladesh,Bowling
162,SR,76.79,40.47,27.12,0.0,Mashrafe Mortaza,Bangladesh,Bowling
163,BBI,4/60,6/26,4/19,0/58,Mashrafe Mortaza,Bangladesh,Bowling
164,BBM,5/88,6/26,4/19,0/58,Mashrafe Mortaza,Bangladesh,Bowling
165,4w,4,7,1,0,Mashrafe Mortaza,Bangladesh,Bowling
166,5w,0,1,0,0,Mashrafe Mortaza,Bangladesh,Bowling
167,10w,0,0,0,0,Mashrafe Mortaza,Bangladesh,Bowling
168,Matches,27,104,28,0,Rubel Hossain,Bangladesh,Bowling
169,Innings,44,102,27,0,Rubel Hossain,Bangladesh,Bowling
170,Balls,4223,4678,579,0,Rubel Hossain,Bangladesh,Bowling
171,Runs,2764,4427,912,0,Rubel Hossain,Bangladesh,Bowling
172,Maidens,73,29,0,0,Rubel Hossain,Bangladesh,Bowling
173,Wickets,36,129,28,0,Rubel Hossain,Bangladesh,Bowling
174,Avg,76.78,34.32,32.57,0.0,Rubel Hossain,Bangladesh,Bowling
175,Eco,3.93,5.68,9.45,0,Rubel Hossain,Bangladesh,Bowling
176,SR,117.31,36.26,20.68,0.0,Rubel Hossain,Bangladesh,Bowling
177,BBI,5/166,6/26,3/31,-/-,Rubel Hossain,Bangladesh,Bowling
178,BBM,5/210,6/26,3/31,-/-,Rubel Hossain,Bangladesh,Bowling
179,4w,0,7,0,0,Rubel Hossain,Bangladesh,Bowling
180,5w,1,1,0,0,Rubel Hossain,Bangladesh,Bowling
181,10w,0,0,0,0,Rubel Hossain,Bangladesh,Bowling
182,Matches,15,109,106,57,Mustafizur Rahman,Bangladesh,Bowling
183,Innings,25,108,105,57,Mustafizur Rahman,Bangladesh,Bowling
184,Balls,2145,5279,2278,1298,Mustafizur Rahman,Bangladesh,Bowling
185,Runs,1139,4556,2854,1762,Mustafizur Rahman,Bangladesh,Bowling
186,Maidens,76,35,8,2,Mustafizur Rahman,Bangladesh,Bowling
187,Wickets,31,174,132,61,Mustafizur Rahman,Bangladesh,Bowling
188,Avg,36.74,26.18,21.62,28.89,Mustafizur Rahman,Bangladesh,Bowling
189,Eco,3.19,5.18,7.52,8.14,Mustafizur Rahman,Bangladesh,Bowling
190,SR,69.19,30.34,17.26,21.28,Mustafizur Rahman,Bangladesh,Bowling
191,BBI,4/37,6/43,6/10,4/29,Mustafizur Rahman,Bangladesh,Bowling
192,BBM,5/66,6/43,6/10,4/29,Mustafizur Rahman,Bangladesh,Bowling
193,4w,2,6,3,1,Mustafizur Rahman,Bangladesh,Bowling
194,5w,0,5,2,0,Mustafizur Rahman,Bangladesh,Bowling
195,10w,0,0,0,0,Mustafizur Rahman,Bangladesh,Bowling
196,Matches,13,2,3,0,Abu Jayed,Bangladesh,Bowling
197,Innings,18,2,3,0,Abu Jayed,Bangladesh,Bowling
198,Balls,1964,108,66,0,Abu Jayed,Bangladesh,Bowling
199,Runs,1118,114,106,0,Abu Jayed,Bangladesh,Bowling
200,Maidens,64,0,0,0,Abu Jayed,Bangladesh,Bowling
201,Wickets,30,5,4,0,Abu Jayed,Bangladesh,Bowling
202,Avg,37.27,22.8,26.5,0.0,Abu Jayed,Bangladesh,Bowling
203,Eco,3.42,6.33,9.64,0,Abu Jayed,Bangladesh,Bowling
204,SR,65.47,21.6,16.5,0.0,Abu Jayed,Bangladesh,Bowling
205,BBI,4/71,5/58,2/27,-/-,Abu Jayed,Bangladesh,Bowling
206,BBM,6/130,5/58,2/27,-/-,Abu Jayed,Bangladesh,Bowling
207,4w,3,0,0,0,Abu Jayed,Bangladesh,Bowling
208,5w,0,1,0,0,Abu Jayed,Bangladesh,Bowling
209,10w,0,0,0,0,Abu Jayed,Bangladesh,Bowling
210,Matches,44,127,26,0,Lahiru Thirimanne,SriLanka,Bowling
211,Innings,5,4,0,0,Lahiru Thirimanne,SriLanka,Bowling
212,Balls,84,104,0,0,Lahiru Thirimanne,SriLanka,Bowling
213,Runs,51,94,0,0,Lahiru Thirimanne,SriLanka,Bowling
214,Maidens,1,0,0,0,Lahiru Thirimanne,SriLanka,Bowling
215,Wickets,0,3,0,0,Lahiru Thirimanne,SriLanka,Bowling
216,Avg,0.0,31.33,0.0,0.0,Lahiru Thirimanne,SriLanka,Bowling
217,Eco,3.64,5.42,0,0,Lahiru Thirimanne,SriLanka,Bowling
218,SR,0.0,34.67,0.0,0.0,Lahiru Thirimanne,SriLanka,Bowling
219,BBI,0/5,2/36,-/-,-/-,Lahiru Thirimanne,SriLanka,Bowling
220,BBM,0/5,2/36,-/-,-/-,Lahiru Thirimanne,SriLanka,Bowling
221,4w,0,0,0,0,Lahiru Thirimanne,SriLanka,Bowling
222,5w,0,0,0,0,Lahiru Thirimanne,SriLanka,Bowling
223,10w,0,0,0,0,Lahiru Thirimanne,SriLanka,Bowling
224,Matches,100,50,0,0,Dimuth Karunaratne,SriLanka,Bowling
225,Innings,15,2,0,0,Dimuth Karunaratne,SriLanka,Bowling
226,Balls,312,16,0,0,Dimuth Karunaratne,SriLanka,Bowling
227,Runs,202,18,0,0,Dimuth Karunaratne,SriLanka,Bowling
228,Maidens,5,0,0,0,Dimuth Karunaratne,SriLanka,Bowling
229,Wickets,2,0,0,0,Dimuth Karunaratne,SriLanka,Bowling
230,Avg,101.0,0.0,0.0,0.0,Dimuth Karunaratne,SriLanka,Bowling
231,Eco,3.88,6.75,0,0,Dimuth Karunaratne,SriLanka,Bowling
232,SR,156.0,0.0,0.0,0.0,Dimuth Karunaratne,SriLanka,Bowling
233,BBI,1/12,0/7,-/-,-/-,Dimuth Karunaratne,SriLanka,Bowling
234,BBM,1/12,0/7,-/-,-/-,Dimuth Karunaratne,SriLanka,Bowling
235,4w,0,0,0,0,Dimuth Karunaratne,SriLanka,Bowling
236,5w,0,0,0,0,Dimuth Karunaratne,SriLanka,Bowling
237,10w,0,0,0,0,Dimuth Karunaratne,SriLanka,Bowling
238,Matches,0,51,37,0,Avishka Fernando,SriLanka,Bowling
239,Innings,0,0,0,0,Avishka Fernando,SriLanka,Bowling
240,Balls,0,0,0,0,Avishka Fernando,SriLanka,Bowling
241,Runs,0,0,0,0,Avishka Fernando,SriLanka,Bowling
242,Maidens,0,0,0,0,Avishka Fernando,SriLanka,Bowling
243,Wickets,0,0,0,0,Avishka Fernando,SriLanka,Bowling
244,Avg,0.0,0.0,0.0,0.0,Avishka Fernando,SriLanka,Bowling
245,Eco,0,0,0,0,Avishka Fernando,SriLanka,Bowling
246,SR,0.0,0.0,0.0,0.0,Avishka Fernando,SriLanka,Bowling
247,BBI,-/-,-/-,-/-,-/-,Avishka Fernando,SriLanka,Bowling
248,BBM,-/-,-/-,-/-,-/-,Avishka Fernando,SriLanka,Bowling
249,4w,0,0,0,0,Avishka Fernando,SriLanka,Bowling
250,5w,0,0,0,0,Avishka Fernando,SriLanka,Bowling
251,10w,0,0,0,0,Avishka Fernando,SriLanka,Bowling
252,Matches,118,226,90,49,Angelo Mathews,SriLanka,Bowling
253,Innings,86,163,72,44,Angelo Mathews,SriLanka,Bowling
254,Balls,3978,5324,1169,791,Angelo Mathews,SriLanka,Bowling
255,Runs,1798,4110,1389,1079,Angelo Mathews,SriLanka,Bowling
256,Maidens,161,56,4,0,Angelo Mathews,SriLanka,Bowling
257,Wickets,33,126,45,27,Angelo Mathews,SriLanka,Bowling
258,Avg,54.48,32.62,30.87,39.96,Angelo Mathews,SriLanka,Bowling
259,Eco,2.71,4.63,7.13,8.18,Angelo Mathews,SriLanka,Bowling
260,SR,120.55,42.25,25.98,29.3,Angelo Mathews,SriLanka,Bowling
261,BBI,4/44,6/20,3/16,4/19,Angelo Mathews,SriLanka,Bowling
262,BBM,4/60,6/20,3/16,4/19,Angelo Mathews,SriLanka,Bowling
263,4w,1,2,0,1,Angelo Mathews,SriLanka,Bowling
264,5w,0,1,0,0,Angelo Mathews,SriLanka,Bowling
265,10w,0,0,0,0,Angelo Mathews,SriLanka,Bowling
266,Matches,63,90,45,0,Dhananjaya de Silva,SriLanka,Bowling
267,Innings,91,75,25,0,Dhananjaya de Silva,SriLanka,Bowling
268,Balls,4029,2250,286,0,Dhananjaya de Silva,SriLanka,Bowling
269,Runs,2239,1907,327,0,Dhananjaya de Silva,SriLanka,Bowling
270,Maidens,83,1,0,0,Dhananjaya de Silva,SriLanka,Bowling
271,Wickets,40,44,16,0,Dhananjaya de Silva,SriLanka,Bowling
272,Avg,55.98,43.34,20.44,0.0,Dhananjaya de Silva,SriLanka,Bowling
273,Eco,3.33,5.09,6.86,0,Dhananjaya de Silva,SriLanka,Bowling
274,SR,100.73,51.14,17.88,0.0,Dhananjaya de Silva,SriLanka,Bowling
275,BBI,3/25,3/32,2/22,-/-,Dhananjaya de Silva,SriLanka,Bowling
276,BBM,5/51,3/32,2/22,-/-,Dhananjaya de Silva,SriLanka,Bowling
277,4w,0,0,0,0,Dhananjaya de Silva,SriLanka,Bowling
278,5w,0,0,0,0,Dhananjaya de Silva,SriLanka,Bowling
279,10w,0,0,0,0,Dhananjaya de Silva,SriLanka,Bowling
280,Matches,5,27,22,0,Milinda Siriwardana,SriLanka,Bowling
281,Innings,9,21,13,0,Milinda Siriwardana,SriLanka,Bowling
282,Balls,413,601,138,0,Milinda Siriwardana,SriLanka,Bowling
283,Runs,257,547,206,0,Milinda Siriwardana,SriLanka,Bowling
284,Maidens,6,2,0,0,Milinda Siriwardana,SriLanka,Bowling
285,Wickets,11,9,8,0,Milinda Siriwardana,SriLanka,Bowling
286,Avg,23.36,60.78,25.75,0.0,Milinda Siriwardana,SriLanka,Bowling
287,Eco,3.73,5.46,8.96,0,Milinda Siriwardana,SriLanka,Bowling
288,SR,37.55,66.78,17.25,0.0,Milinda Siriwardana,SriLanka,Bowling
289,BBI,3/25,2/27,2/17,-/-,Milinda Siriwardana,SriLanka,Bowling
290,BBM,5/51,2/27,2/17,-/-,Milinda Siriwardana,SriLanka,Bowling
291,4w,0,0,0,0,Milinda Siriwardana,SriLanka,Bowling
292,5w,0,0,0,0,Milinda Siriwardana,SriLanka,Bowling
293,10w,0,0,0,0,Milinda Siriwardana,SriLanka,Bowling
294,Matches,6,166,84,37,Thisara Perera,SriLanka,Bowling
295,Innings,8,157,67,36,Thisara Perera,SriLanka,Bowling
296,Balls,954,5900,1102,698,Thisara Perera,SriLanka,Bowling
297,Runs,653,5740,1717,1016,Thisara Perera,SriLanka,Bowling
298,Maidens,20,28,1,0,Thisara Perera,SriLanka,Bowling
299,Wickets,11,175,51,31,Thisara Perera,SriLanka,Bowling
300,Avg,59.36,32.8,33.67,32.77,Thisara Perera,SriLanka,Bowling
301,Eco,4.11,5.84,9.35,8.73,Thisara Perera,SriLanka,Bowling
302,SR,86.73,33.71,21.61,22.52,Thisara Perera,SriLanka,Bowling
303,BBI,4/63,6/44,3/24,3/20,Thisara Perera,SriLanka,Bowling
304,BBM,4/151,6/44,3/24,3/20,Thisara Perera,SriLanka,Bowling
305,4w,1,5,0,0,Thisara Perera,SriLanka,Bowling
306,5w,0,4,0,0,Thisara Perera,SriLanka,Bowling
307,10w,0,0,0,0,Thisara Perera,SriLanka,Bowling
308,Matches,0,21,35,10,Isuru Udana,SriLanka,Bowling
309,Innings,0,21,32,10,Isuru Udana,SriLanka,Bowling
310,Balls,0,909,631,174,Isuru Udana,SriLanka,Bowling
311,Runs,0,950,915,282,Isuru Udana,SriLanka,Bowling
312,Maidens,0,2,1,0,Isuru Udana,SriLanka,Bowling
313,Wickets,0,18,27,8,Isuru Udana,SriLanka,Bowling
314,Avg,0.0,52.78,33.89,35.25,Isuru Udana,SriLanka,Bowling
315,Eco,0,6.27,8.7,9.72,Isuru Udana,SriLanka,Bowling
316,SR,0.0,50.5,23.37,21.75,Isuru Udana,SriLanka,Bowling
317,BBI,-/-,3/82,3/11,2/41,Isuru Udana,SriLanka,Bowling
318,BBM,-/-,3/82,3/11,2/41,Isuru Udana,SriLanka,Bowling
319,4w,0,0,0,0,Isuru Udana,SriLanka,Bowling
320,5w,0,0,0,0,Isuru Udana,SriLanka,Bowling
321,10w,0,0,0,0,Isuru Udana,SriLanka,Bowling
322,Matches,0,58,22,3,Jeevan Mendis,SriLanka,Bowling
323,Innings,0,49,14,2,Jeevan Mendis,SriLanka,Bowling
324,Balls,0,1404,210,30,Jeevan Mendis,SriLanka,Bowling
325,Runs,0,1204,249,36,Jeevan Mendis,SriLanka,Bowling
326,Maidens,0,2,0,0,Jeevan Mendis,SriLanka,Bowling
327,Wickets,0,28,12,1,Jeevan Mendis,SriLanka,Bowling
328,Avg,0.0,43.0,20.75,36.0,Jeevan Mendis,SriLanka,Bowling
329,Eco,0,5.15,7.11,7.2,Jeevan Mendis,SriLanka,Bowling
330,SR,0.0,50.14,17.5,30.0,Jeevan Mendis,SriLanka,Bowling
331,BBI,-/-,3/15,3/24,1/16,Jeevan Mendis,SriLanka,Bowling
332,BBM,-/-,3/15,3/24,1/16,Jeevan Mendis,SriLanka,Bowling
333,4w,0,0,0,0,Jeevan Mendis,SriLanka,Bowling
334,5w,0,0,0,0,Jeevan Mendis,SriLanka,Bowling
335,10w,0,0,0,0,Jeevan Mendis,SriLanka,Bowling
336,Matches,22,116,77,2,Kusal Perera,SriLanka,Bowling
337,Innings,0,0,0,0,Kusal Perera,SriLanka,Bowling
338,Balls,0,0,0,0,Kusal Perera,SriLanka,Bowling
339,Runs,0,0,0,0,Kusal Perera,SriLanka,Bowling
340,Maidens,0,0,0,0,Kusal Perera,SriLanka,Bowling
341,Wickets,0,0,0,0,Kusal Perera,SriLanka,Bowling
342,Avg,0.0,0.0,0.0,0.0,Kusal Perera,SriLanka,Bowling
343,Eco,0,0,0,0,Kusal Perera,SriLanka,Bowling
344,SR,0.0,0.0,0.0,0.0,Kusal Perera,SriLanka,Bowling
345,BBI,-/-,-/-,-/-,-/-,Kusal Perera,SriLanka,Bowling
346,BBM,-/-,-/-,-/-,-/-,Kusal Perera,SriLanka,Bowling
347,4w,0,0,0,0,Kusal Perera,SriLanka,Bowling
348,5w,0,0,0,0,Kusal Perera,SriLanka,Bowling
349,10w,0,0,0,0,Kusal Perera,SriLanka,Bowling
350,Matches,71,143,78,0,Kusal Mendis,SriLanka,Bowling
351,Innings,9,2,0,0,Kusal Mendis,SriLanka,Bowling
352,Balls,132,20,0,0,Kusal Mendis,SriLanka,Bowling
353,Runs,118,28,0,0,Kusal Mendis,SriLanka,Bowling
354,Maidens,1,0,0,0,Kusal Mendis,SriLanka,Bowling
355,Wickets,1,0,0,0,Kusal Mendis,SriLanka,Bowling
356,Avg,118.0,0.0,0.0,0.0,Kusal Mendis,SriLanka,Bowling
357,Eco,5.36,8.4,0,0,Kusal Mendis,SriLanka,Bowling
358,SR,132.0,0.0,0.0,0.0,Kusal Mendis,SriLanka,Bowling
359,BBI,1/10,0/13,-/-,-/-,Kusal Mendis,SriLanka,Bowling
360,BBM,1/18,0/13,-/-,-/-,Kusal Mendis,SriLanka,Bowling
361,4w,0,0,0,0,Kusal Mendis,SriLanka,Bowling
362,5w,0,0,0,0,Kusal Mendis,SriLanka,Bowling
363,10w,0,0,0,0,Kusal Mendis,SriLanka,Bowling
